DATE,BCNSDODNS
2007-07-01,6188.672
2007-10-01,6335.072
2008-01-01,6450.937
2008-04-01,6569.296
2008-07-01,6635.692
2008-10-01,6589.863
2009-01-01,6516.245
2009-04-01,6456.737
2009-07-01,6356.41
2009-10-01,6181.139
2010-01-01,6162.379
2010-04-01,6101.612
2010-07-01,6143.323
2010-10-01,6079.016
2011-01-01,6089.861
2011-04-01,6183.607
2011-07-01,6273.958
2011-10-01,6381.759
2012-01-01,6419.129
2012-04-01,6485.059
2012-07-01,6615.144
2012-10-01,6756.681
2013-01-01,6805.708
2013-04-01,6914.514
2013-07-01,7083.713
2013-10-01,7165.932
2014-01-01,7279.185
2014-04-01,7376.918
2014-07-01,7490.8
2014-10-01,7653.558
2015-01-01,7807.749
2015-04-01,8006.347
2015-07-01,8112.345
2015-10-01,8219.238
2016-01-01,8397.773
2016-04-01,8439.772
2016-07-01,8534.635
2016-10-01,8486.314
2017-01-01,8634.983
2017-04-01,8760.948
2017-07-01,8841.8
2017-10-01,8988.244
2018-01-01,9085.71
2018-04-01,9464.8
2018-07-01,9579.058
2018-10-01,9680.179
2019-01-01,9920.112
2019-04-01,10055.916
2019-07-01,10264.322
2019-10-01,10327.13
2020-01-01,11034.594
2020-04-01,11467.095
2020-07-01,11384.785
2020-10-01,11398.359
2021-01-01,11549.649
2021-04-01,11616.906
2021-07-01,11826.825
2021-10-01,12005.885
2022-01-01,12334.433
2022-04-01,12594.358
2022-07-01,12761.01
