DATE,BCNSDODNS_GDP
1949-10-01,0.23794373806013442857
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.22015971495100720436
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.22142861153692816513
1952-01-01,0.22228614307153576788
1952-04-01,0.22549649613605517547
1952-07-01,0.22625176434113586855
1952-10-01,0.22346459670388538176
1953-01-01,0.22349347904531161400
1953-04-01,0.22453407666643692773
1953-07-01,0.22756543813319494543
1953-10-01,0.23124077000803171231
1954-01-01,0.23446781455578767079
1954-04-01,0.23496520520769396122
1954-07-01,0.23497171326560885533
1954-10-01,0.23226195419954269589
1955-01-01,0.22731333202605834804
1955-04-01,0.22753669946765607356
1955-07-01,0.22692988022434981091
1955-10-01,0.23156680973341996651
1956-01-01,0.23602261305389929641
1956-04-01,0.23871662070357166880
1956-07-01,0.24063644886533640964
1956-10-01,0.24097701661154099244
1957-01-01,0.24214577492821092471
1957-04-01,0.24739155765054817012
1957-07-01,0.24762351665311059668
1957-10-01,0.25403483944876848950
1958-01-01,0.26226205244471061300
1958-04-01,0.26211179334630003941
1958-07-01,0.25790330581404204256
1958-10-01,0.25615798060273643543
1959-01-01,0.25322242470558266220
1959-04-01,0.25330573057076109771
1959-07-01,0.25532441708536970939
1959-10-01,0.25850359440030268634
1960-01-01,0.25664703454172870811
1960-04-01,0.26226805647963332594
1960-07-01,0.26239360415246222535
1960-10-01,0.26951649120598596438
1961-01-01,0.26823701235555522937
1961-04-01,0.26675066826269699124
1961-07-01,0.26367710476619972378
1961-10-01,0.26349265946966304520
1962-01-01,0.26015087211896035945
1962-04-01,0.26265644623446364384
1962-07-01,0.26289474850868680699
1962-10-01,0.26697915986150127393
1963-01-01,0.26636071754880387085
1963-04-01,0.26667640595027883992
1963-07-01,0.26402294070547634860
1963-10-01,0.26636164284687539186
1964-01-01,0.26362974043850455793
1964-04-01,0.26518770425859838450
1964-07-01,0.26508350059462654130
1964-10-01,0.26949645714515164509
1965-01-01,0.26913999916410092088
1965-04-01,0.27112358273383265474
1965-07-01,0.27073371563397893832
1965-10-01,0.26973001475661942562
1966-01-01,0.26964035720479456703
1966-04-01,0.27622639540560584660
1966-07-01,0.27883895085391355696
1966-10-01,0.27951930992605321960
1967-01-01,0.28393214636862243387
1967-04-01,0.28981145676650769214
1967-07-01,0.29083495428399055515
1967-10-01,0.28957761115630236466
1968-01-01,0.28983809973091764012
1968-04-01,0.28923180327588126001
1968-07-01,0.29217048352746299266
1968-10-01,0.29552183300104335609
1969-01-01,0.29622977901759423036
1969-04-01,0.30104656002854254623
1969-07-01,0.30298090403861912548
1969-10-01,0.30716170253345624464
1970-01-01,0.32234113394216133942
1970-04-01,0.32738259749385173908
1970-07-01,0.32874457096713898600
1970-10-01,0.33380610835121549722
1971-01-01,0.32634281103214007590
1971-04-01,0.32711535617515271074
1971-07-01,0.32844800135860912391
1971-10-01,0.32952784053055665939
1972-01-01,0.32775073154836345257
1972-04-01,0.32475526485566213323
1972-07-01,0.32585702707184289684
1972-10-01,0.32494070301541721599
1973-01-01,0.32407712578675707265
1973-04-01,0.32636908041448856945
1973-07-01,0.33560416169748604794
1973-10-01,0.33695096285347923069
1974-01-01,0.34344950976020128634
1974-04-01,0.34592916860559352076
1974-07-01,0.34734228788494550732
1974-10-01,0.34573561320739973457
1975-01-01,0.34578829737469340072
1975-04-01,0.34049337319967333655
1975-07-01,0.33221274754067679639
1975-10-01,0.32503968882372940424
1976-01-01,0.31746889705886391938
1976-04-01,0.31788307927520552471
1976-07-01,0.31849643636718298616
1976-10-01,0.31761080261162721084
1977-01-01,0.31795471093929141809
1977-04-01,0.31544149084419592501
1977-07-01,0.31434198122893234891
1977-10-01,0.31896297596880241375
1978-01-01,0.32267927509124916014
1978-04-01,0.31353433409117129497
1978-07-01,0.31133549027933828604
1978-10-01,0.30927403026868942396
1979-01-01,0.31261017727310506964
1979-04-01,0.31318589080855665245
1979-07-01,0.31255808199612755453
1979-10-01,0.31270506112046662797
1980-01-01,0.31312131654767545976
1980-04-01,0.31481629769868075237
1980-07-01,0.31250912398218368532
1980-10-01,0.30802024546843352848
1981-01-01,0.29934645794803543684
1981-04-01,0.30877790327497081452
1981-07-01,0.31110169909976939891
1981-10-01,0.31659177680688169841
1982-01-01,0.32616081228915353562
1982-04-01,0.32956129283199258577
1982-07-01,0.33414123782573384245
1982-10-01,0.33208339247995847833
1983-01-01,0.33439213822254940602
1983-04-01,0.33117668031724174930
1983-07-01,0.33002871370567814682
1983-10-01,0.32867974488669214427
1984-01-01,0.33143068135701297884
1984-04-01,0.33737646214673230578
1984-07-01,0.34286564240680663525
1984-10-01,0.35144029807033829402
1985-01-01,0.35210469182311435385
1985-04-01,0.35602939029594957912
1985-07-01,0.35838872902700914773
1985-10-01,0.36879125419039291248
1986-01-01,0.37343624317696911241
1986-04-01,0.38218395103556609627
1986-07-01,0.39005123848957032287
1986-10-01,0.40030835444744716569
1987-01-01,0.40422510395675195822
1987-04-01,0.40539079015263744861
1987-07-01,0.40942153379376422212
1987-10-01,0.40965404511267385704
1988-01-01,0.41408081252468772249
1988-04-01,0.41525916197883791172
1988-07-01,0.41577315967657517223
1988-10-01,0.41952055270210680267
1989-01-01,0.42067693136206956930
1989-04-01,0.42361865013631270264
1989-07-01,0.42244825397494278242
1989-10-01,0.42720023552186903028
1990-01-01,0.42619264968538326743
1990-04-01,0.42601058250061912461
1990-07-01,0.42654322875901312626
1990-10-01,0.43055852774802809717
1991-01-01,0.42527411784706267156
