DATE,DPRIME
1955-08-01,3.2500000000000000
1955-09-01,3.2500000000000000
1955-10-01,3.3928571428571429
1955-11-01,3.5000000000000000
1955-12-01,3.5000000000000000
1956-01-01,3.5000000000000000
1956-02-01,3.5000000000000000
1956-03-01,3.5000000000000000
1956-04-01,3.6428571428571429
1956-05-01,3.7500000000000000
1956-06-01,3.7500000000000000
1956-07-01,3.7500000000000000
1956-08-01,3.8478260869565217
1956-09-01,4.0000000000000000
1956-10-01,4.0000000000000000
1956-11-01,4.0000000000000000
1956-12-01,4.0000000000000000
1957-01-01,4.0000000000000000
1957-02-01,4.0000000000000000
1957-03-01,4.0000000000000000
1957-04-01,4.0000000000000000
1957-05-01,4.0000000000000000
1957-06-01,4.0000000000000000
1957-07-01,4.0000000000000000
1957-08-01,4.4318181818181818
1957-09-01,4.5000000000000000
1957-10-01,4.5000000000000000
1957-11-01,4.5000000000000000
1957-12-01,4.5000000000000000
1958-01-01,4.3260869565217391
1958-02-01,4.0000000000000000
1958-03-01,4.0000000000000000
1958-04-01,3.8181818181818182
1958-05-01,3.5000000000000000
1958-06-01,3.5000000000000000
1958-07-01,3.5000000000000000
1958-08-01,3.5000000000000000
1958-09-01,3.8181818181818182
1958-10-01,4.0000000000000000
1958-11-01,4.0000000000000000
1958-12-01,4.0000000000000000
1959-01-01,4.0000000000000000
1959-02-01,4.0000000000000000
1959-03-01,4.0000000000000000
1959-04-01,4.0000000000000000
1959-05-01,4.2380952380952381
1959-06-01,4.5000000000000000
1959-07-01,4.5000000000000000
1959-08-01,4.5000000000000000
1959-09-01,5.0000000000000000
1959-10-01,5.0000000000000000
1959-11-01,5.0000000000000000
1959-12-01,5.0000000000000000
1960-01-01,5.0000000000000000
1960-02-01,5.0000000000000000
1960-03-01,5.0000000000000000
1960-04-01,5.0000000000000000
1960-05-01,5.0000000000000000
1960-06-01,5.0000000000000000
1960-07-01,5.0000000000000000
1960-08-01,4.8478260869565217
1960-09-01,4.5000000000000000
1960-10-01,4.5000000000000000
1960-11-01,4.5000000000000000
1960-12-01,4.5000000000000000
1961-01-01,4.5000000000000000
1961-02-01,4.5000000000000000
1961-03-01,4.5000000000000000
1961-04-01,4.5000000000000000
1961-05-01,4.5000000000000000
1961-06-01,4.5000000000000000
1961-07-01,4.5000000000000000
1961-08-01,4.5000000000000000
1961-09-01,4.5000000000000000
1961-10-01,4.5000000000000000
1961-11-01,4.5000000000000000
1961-12-01,4.5000000000000000
1962-01-01,4.5000000000000000
1962-02-01,4.5000000000000000
1962-03-01,4.5000000000000000
