DATE,WM2NS
2000-11-06,4881.0
2000-11-13,4880.6
2000-11-20,4880.6
2000-11-27,4883.8
2000-12-04,4919.6
2000-12-11,4932.7
2000-12-18,4948.2
2000-12-25,4956.0
2001-01-01,4984.9
2001-01-08,5008.8
2001-01-15,5004.4
2001-01-22,4976.5
2001-01-29,4930.5
2001-02-05,4990.9
2001-02-12,4998.8
2001-02-19,5007.7
2001-02-26,5011.0
2001-03-05,5080.0
2001-03-12,5092.0
2001-03-19,5096.9
2001-03-26,5087.5
2001-04-02,5140.0
2001-04-09,5196.1
2001-04-16,5223.5
2001-04-23,5173.7
2001-04-30,5102.0
2001-05-07,5120.7
2001-05-14,5115.1
2001-05-21,5110.3
2001-05-28,5090.8
2001-06-04,5165.5
2001-06-11,5171.2
2001-06-18,5177.7
2001-06-25,5123.5
2001-07-02,5164.6
2001-07-09,5207.3
2001-07-16,5201.9
2001-07-23,5171.1
2001-07-30,5169.1
2001-08-06,5232.4
2001-08-13,5231.3
2001-08-20,5227.5
2001-08-27,5206.1
2001-09-03,5249.6
2001-09-10,5295.6
2001-09-17,5457.2
2001-09-24,5318.5
2001-10-01,5301.2
2001-10-08,5334.9
2001-10-15,5336.9
2001-10-22,5311.7
2001-10-29,5296.3
2001-11-05,5370.0
2001-11-12,5376.5
2001-11-19,5388.6
2001-11-26,5383.1
2001-12-03,5419.1
2001-12-10,5456.0
2001-12-17,5478.3
2001-12-24,5456.1
2001-12-31,5474.6
2002-01-07,5499.4
2002-01-14,5476.7
2002-01-21,5444.0
2002-01-28,5401.1
2002-02-04,5454.0
2002-02-11,5466.9
2002-02-18,5474.7
2002-02-25,5461.2
2002-03-04,5511.4
2002-03-11,5524.7
2002-03-18,5526.5
2002-03-25,5485.8
2002-04-01,5534.0
2002-04-08,5561.3
2002-04-15,5577.0
2002-04-22,5534.0
2002-04-29,5462.6
2002-05-06,5502.5
2002-05-13,5504.4
2002-05-20,5504.5
2002-05-27,5484.4
2002-06-03,5519.6
2002-06-10,5547.4
2002-06-17,5561.2
2002-06-24,5508.7
2002-07-01,5539.7
2002-07-08,5589.5
2002-07-15,5586.3
2002-07-22,5566.2
2002-07-29,5565.8
2002-08-05,5631.4
2002-08-12,5628.3
2002-08-19,5626.0
2002-08-26,5595.6
2002-09-02,5627.7
2002-09-09,5676.0
2002-09-16,5676.2
2002-09-23,5614.4
2002-09-30,5618.0
2002-10-07,5683.3
2002-10-14,5695.8
2002-10-21,5690.6
2002-10-28,5667.9
2002-11-04,5737.0
2002-11-11,5750.7
2002-11-18,5772.7
2002-11-25,5728.6
2002-12-02,5786.3
2002-12-09,5797.7
2002-12-16,5817.1
2002-12-23,5801.1
2002-12-30,5796.5
2003-01-06,5838.3
2003-01-13,5815.8
2003-01-20,5800.3
2003-01-27,5748.4
2003-02-03,5775.9
2003-02-10,5819.3
2003-02-17,5849.7
2003-02-24,5800.0
2003-03-03,5845.4
2003-03-10,5885.1
2003-03-17,5902.0
2003-03-24,5856.4
2003-03-31,5884.0
2003-04-07,5956.0
2003-04-14,5965.2
2003-04-21,5948.9
2003-04-28,5890.3
2003-05-05,5952.1
2003-05-12,5945.5
2003-05-19,5936.3
2003-05-26,5909.6
2003-06-02,5957.4
2003-06-09,5995.5
2003-06-16,6022.9
2003-06-23,5966.4
2003-06-30,5983.9
2003-07-07,6075.6
2003-07-14,6046.0
2003-07-21,6019.3
2003-07-28,5997.9
2003-08-04,6094.5
2003-08-11,6098.1
2003-08-18,6133.0
2003-08-25,6040.9
2003-09-01,6072.4
2003-09-08,6113.0
2003-09-15,6104.4
2003-09-22,6033.5
2003-09-29,6001.5
2003-10-06,6066.0
2003-10-13,6066.8
2003-10-20,6060.1
2003-10-27,6013.1
2003-11-03,6048.3
2003-11-10,6081.2
2003-11-17,6100.7
2003-11-24,6045.1
2003-12-01,6086.3
2003-12-08,6101.9
2003-12-15,6107.7
2003-12-22,6098.3
2003-12-29,6085.3
2004-01-05,6118.4
2004-01-12,6082.1
2004-01-19,6062.0
2004-01-26,6008.7
2004-02-02,6037.0
2004-02-09,6074.4
2004-02-16,6102.7
2004-02-23,6081.5
2004-03-01,6112.5
2004-03-08,6155.3
2004-03-15,6173.9
2004-03-22,6169.5
2004-03-29,6167.0
2004-04-05,6247.4
2004-04-12,6265.5
2004-04-19,6255.3
2004-04-26,6191.4
2004-05-03,6219.2
2004-05-10,6251.1
2004-05-17,6279.6
2004-05-24,6222.2
2004-05-31,6242.2
2004-06-07,6295.8
2004-06-14,6302.8
2004-06-21,6265.8
2004-06-28,6230.3
2004-07-05,6302.8
2004-07-12,6302.9
2004-07-19,6276.1
2004-07-26,6240.6
2004-08-02,6277.5
2004-08-09,6313.5
2004-08-16,6326.7
2004-08-23,6288.4
2004-08-30,6268.5
2004-09-06,6350.3
2004-09-13,6360.8
2004-09-20,6344.2
2004-09-27,6293.3
2004-10-04,6346.9
2004-10-11,6359.1
2004-10-18,6373.7
2004-10-25,6326.2
2004-11-01,6356.4
2004-11-08,6402.8
2004-11-15,6422.9
